variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_6045	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_5923	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_5618	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_5598	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_5497	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
hisI	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_4880	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_4719	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_4024	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_3973	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_3844	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_3831	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_3647	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_3640	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_3581	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_3357	1.01E-01	2.45E-03	9.30E-02	-1.62E-01	9.61E-02	9.77E-02	
fabG	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_2946	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_2215	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_1124	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_972	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_315	9.76E-02	6.36E-01	3.44E-01	8.42E-02	8.89E-02	5.51E-02	
group_23341	9.76E-02	3.77E-01	7.99E-01	-2.34E-02	9.18E-02	1.48E-02	
group_23290	9.76E-02	3.77E-01	7.99E-01	-2.34E-02	9.18E-02	1.48E-02	
group_23267	9.76E-02	1.76E-04	4.56E-01	-1.75E-01	2.35E-01	4.34E-02	bad-chisq
group_23210	9.76E-02	1.76E-04	4.56E-01	-1.75E-01	2.35E-01	4.34E-02	bad-chisq
