variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_7819	1.21E-01	5.05E-01	9.63E-01	-3.85E-03	8.37E-02	2.68E-03	
group_7710	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_7591	1.18E-01	1.36E-02	8.86E-01	1.35E-02	9.47E-02	8.33E-03	
group_7533	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_7527	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_6920	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_6919	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_6566	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_6542	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_6497	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_5448	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_5345	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_5327	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_5326	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_5162	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_4985	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_4907	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_4705	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_4704	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_4004	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_3740	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_2999	1.21E-01	9.00E-04	3.06E-01	-1.94E-01	1.89E-01	5.96E-02	
fecA	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
